mensaje_completo,categoria_predicha,prioridad_predicha
pre-registro #176124830  #estoydispuestoalcambio  #quieroserconductor | quiero ser parte como conductor,mensaje de operador,baja
solicitud conductor cliente se fue me hace venir por gusto,problemas con el viaje,alta
solicitud conductor llego y cancela la solicitud pésimo cliente,problemas con el viaje,alta
solicitud conductor cliente cancela y estando en el lugar,problemas con el viaje,alta
solicitud conductor el cliente no espera la unidad se fue en otro amarillo..,problemas con el viaje,alta
solicitud conductor cliente cancela la solicitud me retiro,problemas con el viaje,alta
solicitud conductor demasiada carga 3 quintales de arroz,otros problemas,baja
solicitud cliente no llego nunca    nunca llegó,problemas con el viaje,alta
solicitud conductor hace perder el tiempo si no vaa espera uno contesta,problemas con el viaje,alta
solicitud conductor cliente ya no desea la unidad miente que la ubicación es en otro sitio pero la referencia coincide con lo que ella ingresó,problemas con el viaje,alta
solicitud conductor canceló pero volvió a pedir,otros problemas,baja
solicitud conductor siguiente juega con la aplicación de santa maría del vergel,problemas de comportamiento,urgente
solicitud conductor cliente uso que está gordo y no ha llegado,otros problemas,baja
solicitud conductor cliente pide taxi y. llegó al lugar se  fue en otro,problemas con el viaje,alta
solicitud conductor 101 ese 66 creo que 5 es lo justo desde el benjamín franklin a mi pais,otros problemas,baja
solicitud conductor se va en otro vehículo,problemas con el viaje,alta
solicitud cliente nunca llegó el taxi,problemas con el viaje,alta
solicitud cliente si    velocidad excesiva,problemas de seguridad,inmediata
solicitud conductor más seriedad,problemas con el viaje,alta
solicitud conductor cliente quiere subir 5 personas mas un perro,otros problemas,baja
solicitud conductor cliente pide la unidad y no sale bloquear por favor,problemas con el viaje,alta
solicitud cliente tomó ruta más larga y dio menos cambió   actitud desagradable,problemas con el pago,inmediata
solicitud cliente velocidad excesiva  llevó otro cliente  vehículo incorrecto  actitud desagradable,problemas de seguridad,inmediata
solicitud conductor pésimo cliente no espera el taxi,problemas con el viaje,alta
solicitud conductor no está el cliente,problemas de seguridad,inmediata
solicitud conductor el gps está mal cliente molesto...,problemas con la cuenta/app,alta
solicitud conductor este cliente juega con la aplicasuon bloquiar,problemas de comportamiento,urgente
solicitud conductor cliente no salio ni contesta los mensajes,otros problemas,baja
pre-registro #9170007  #estoydispuestoalcambio  #quieroserconductor | quiero trabajar con clipciudad:tarija  |,mensaje de operador,baja
solicitud conductor cliente se va en otra unidad,problemas con el viaje,alta
solicitud conductor no paga todo lo que marca el taxismo,problemas con el pago,inmediata
"solicitud conductor no responde llamadas ni sms, una perdida de tiempo...",problemas con el viaje,alta
solicitud cliente llovía mucho   nunca llegó,problemas con el viaje,alta
solicitud conductor cliente coloca que esta en el taxi y finaliza la solicitud,problemas con el viaje,alta
solicitud conductor cliente llama molesto q porq no llego le estoy esperando el la ubicacion que me marca la aplicación en el colegio benigno malo y el dice q esta en la huaynacapac,problemas con la cuenta/app,alta
solicitud conductor cliente da mala la dirección hace llegar y no contesta el teléfono,problemas con el viaje,alta
pre-registro #105372035  #estoydispuestoalcambio  #quieroserconductor | quiero trabajar con la aplicación,mensaje de operador,baja
solicitud conductor cliente 1001 me canceló la carrera cuando ya estaba llegando a su qth,problemas con el viaje,alta
solicitud conductor revisar por favor el cliente juega con la aplicación dise q una consulta y luego no responde  llamadas ni mensajes,problemas con el viaje,alta
le espero le espero,otros problemas,baja
consulta de traslado me pueden trasladar con mi perro al veterinario,otros problemas,baja
solicitud conductor pide la unidad y se sube con perros. y no quiere roconocer el dólar adicional,problemas con el viaje,alta
solicitud conductor mal,otros problemas,baja
